MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,PiecesParChambre,PopParLogement,Prix_reel,Prix_predit,Residus,Erreur_%
3.1621,6.0,3.939516129032258,1.0766129032258065,1584.0,3.193548387096774,34.09,-117.96,3.6591760299625467,496.0,1.31,1.579415114398948,-0.26941511439894805,-20.56603926709527
1.3417,40.0,4.65979381443299,1.1237113402061856,412.0,4.247422680412371,37.94,-121.3,4.146788990825688,97.0,0.608,0.6478145124430199,-0.03981451244301992,-6.5484395465493295
3.93,52.0,4.781578947368421,1.181578947368421,948.0,2.4947368421052634,37.76,-122.46,4.046770601336303,379.99999999999994,3.9,2.8891619928833805,1.0108380071166194,25.9189232594005
7.7201,21.0,7.75375,0.9975,2494.0,3.1175,37.22,-121.85,7.773182957393484,800.0,3.627,3.5260019693105207,0.1009980306894791,2.784616230754869
2.3125,38.0,3.3943661971830985,1.0766823161189358,3036.0,4.751173708920188,33.94,-118.36,3.1526162790697674,639.0,1.485,1.4039301906644184,0.08106980933558172,5.459246419904493
2.5875,52.0,3.2874493927125505,1.0202429149797572,629.0,2.5465587044534415,37.8,-122.41,3.222222222222222,246.99999999999997,5.00001,2.3126196632788663,2.6873903367211334,53.74769923902419
3.2369,17.0,4.465677179962894,1.0120593692022264,3013.0,2.7949907235621523,32.95,-117.05,4.412465627864344,1078.0,1.678,1.9022892116148356,-0.22428921161483562,-13.366460763696997
3.662,8.0,6.619926199261992,1.018450184501845,690.0,2.5461254612546127,34.48,-117.27,6.5,271.0,1.653,1.1094342690947911,0.5435657309052089,32.883589286461515
5.0275,36.0,5.469387755102041,0.9846938775510204,639.0,3.260204081632653,33.83,-117.92,5.5544041450777195,196.0,1.793,2.5137587713200062,-0.7207587713200063,-40.19848138984977
6.4631,32.0,6.091476091476092,1.0,1336.0,2.7775467775467777,37.29,-121.99,6.091476091476092,481.0,3.441,3.421436445075436,0.019563554924563853,0.5685427179472204
3.215,19.0,4.837931034482758,0.9517241379310345,901.0,3.106896551724138,38.26,-121.3,5.083333333333333,290.0,1.046,1.1832989480056284,-0.13729894800562836,-13.126094455605006
4.2054,23.0,5.321100917431193,1.073394495412844,320.0,2.9357798165137616,40.67,-124.14,4.957264957264957,109.0,1.306,1.9042742957334582,-0.5982742957334581,-45.80967042369511
3.6989,32.0,5.192037470725995,0.9882903981264637,1064.0,2.4918032786885247,34.25,-118.46,5.253554502369668,427.0,2.086,2.1831814675025356,-0.09718146750253576,-4.658747243649844
3.25,16.0,4.935483870967742,1.060931899641577,830.0,2.974910394265233,39.37,-123.75,4.652027027027027,279.0,1.514,1.8352256338764334,-0.32122563387643344,-21.217016768588735
2.6908,24.0,5.855203619909502,1.004524886877828,684.0,3.0950226244343892,37.37,-120.88,5.828828828828828,221.0,1.031,1.11214683025824,-0.0811468302582401,-7.870691586638226
4.1652,4.0,4.0325,1.0475,1666.0,2.0825,33.68,-117.83,3.849642004773269,800.0,1.845,2.4627974134141084,-0.6177974134141084,-33.48495465659124
4.3585,34.0,5.768976897689769,0.9372937293729373,783.0,2.5841584158415842,38.27,-122.31,6.154929577464789,303.0,1.944,2.231312074102604,-0.28731207410260406,-14.779427680175106
4.46,22.0,5.947890818858561,0.9925558312655087,1347.0,3.3424317617866004,33.83,-117.52,5.9925,403.0,1.898,1.8752070735293103,0.022792926470689645,1.2008918056211615
3.0526,24.0,4.5283950617283955,1.0987654320987654,3151.0,3.8901234567901235,34.29,-118.46,4.121348314606742,810.0,1.833,1.5885270558952556,0.2444729441047444,13.33731282622719
4.498,34.0,4.756267409470752,1.084958217270195,1275.0,1.775766016713092,33.6,-117.87,4.38382541720154,718.0,4.829,2.994943404346472,1.8340565956535277,37.98004960972309
2.8547,25.0,4.107544141252006,1.0497592295345104,1674.0,2.6869983948635636,34.13,-117.88,3.9128440366972477,623.0,1.556,1.7186887525740602,-0.16268875257406012,-10.455575358230085
5.4663,36.0,5.39647577092511,0.9383259911894273,591.0,2.60352422907489,33.99,-118.4,5.751173708920188,227.0,3.267,2.942424325332574,0.32457567466742576,9.934976267751018
4.2917,5.0,4.890982503364738,0.9663526244952894,1317.0,1.7725437415881562,34.19,-119.0,5.061281337047354,743.0,2.279,2.7037307586522132,-0.4247307586522133,-18.636716044414804
1.875,16.0,4.436647173489279,1.1578947368421053,1184.0,2.3079922027290447,32.8,-115.57,3.8316498316498313,513.0,0.938,0.893309640387784,0.0446903596122159,4.764430662283146
5.0635,16.0,6.573816155988858,0.9888579387186629,1034.0,2.8802228412256268,36.83,-119.77,6.647887323943663,359.0,1.085,1.7760242160055384,-0.6910242160055384,-63.68886783461184
2.319,21.0,3.5901639344262297,1.0245901639344261,1505.0,4.112021857923497,34.02,-118.27,3.5040000000000004,366.0,0.972,1.3154718813803754,-0.34347188138037543,-35.336613310738215
4.7375,32.0,5.553030303030303,1.1085858585858586,1799.0,2.2714646464646466,37.43,-122.13,5.009111617312072,791.9999999999999,4.319,3.040743034525974,1.278256965474026,29.59613256480727
3.2383,18.0,4.4557926829268295,1.021341463414634,1751.0,2.669207317073171,34.11,-117.88,4.36268656716418,656.0,1.57,1.7645934051866092,-0.19459340518660917,-12.394484406790394
2.101,51.0,5.311111111111111,1.0888888888888888,662.0,3.6777777777777776,36.73,-119.81,4.877551020408164,180.0,0.567,0.9943819753641776,-0.42738197536417766,-75.37600976440524
6.1388,30.0,5.93026941362916,1.0031695721077654,1721.0,2.7274167987321714,37.33,-121.98,5.911532385466035,631.0,3.024,3.296621594756644,-0.27262159475664394,-9.015264376873146
4.4828,26.0,4.9904761904761905,1.0095238095238095,1282.0,2.441904761904762,33.88,-118.37,4.943396226415095,525.0,3.407,2.6596943827141573,0.7473056172858428,21.934417883353177
3.0893,22.0,3.859300476947536,1.0731319554848966,2519.0,2.0023847376788555,34.2,-118.46,3.5962962962962965,1258.0,2.056,2.420075368439953,-0.3640753684399529,-17.707945935795376
6.2551,37.0,6.348623853211009,1.0152905198776758,771.0,2.3577981651376145,33.95,-118.44,6.253012048192772,327.0,5.00001,3.363101749411541,1.6369082505884585,32.7380995355701
2.325,35.0,6.908355795148248,1.4285714285714286,861.0,2.3207547169811322,36.94,-118.31,4.835849056603774,371.0,0.806,0.6101839102712532,0.19581608972874687,24.29480021448472
2.0819,10.0,3.9105839416058394,1.082116788321168,1167.0,2.1295620437956204,34.65,-120.46,3.6138279932546373,548.0,1.033,2.2580787079475826,-1.2250787079475827,-118.59426020789765
4.0873,18.0,5.452781371280724,1.0478654592496766,2104.0,2.721862871927555,32.84,-116.9,5.203703703703703,773.0,1.469,2.154759324433222,-0.6857593244332219,-46.68205067618937
4.4107,22.0,4.1257861635220126,1.1735849056603773,1842.0,2.3169811320754716,37.39,-122.03,3.5155412647374065,795.0,2.327,2.946886139186482,-0.619886139186482,-26.638854283905545
5.2261,36.0,6.065217391304348,1.013586956521739,951.0,2.5842391304347827,34.28,-119.25,5.983914209115282,368.0,3.032,3.088754196822812,-0.05675419682281202,-1.871840264604618
